participant,lureCaseNum,lureType,evidenceUsedResponse.response,confidenceLevel.response,condition,confidence,caseStrength,verdict,realRate,caseType
957910,6.0,criticalInculp,No,Very Confident,1,1,97.0,1.0,97.0,inculp
957910,6.0,criticalExculp,No,Moderately Confident,1,2,97.0,1.0,97.0,inculp
957910,6.0,evidence2,Yes,Very Confident,1,6,97.0,1.0,97.0,inculp
957910,6.0,evidence4,Yes,Moderately Confident,1,5,97.0,1.0,97.0,inculp
957910,6.0,evidence3,Yes,Very Confident,1,6,97.0,1.0,97.0,inculp
957910,6.0,minorInculp,No,Moderately Confident,1,2,97.0,1.0,97.0,inculp
957910,6.0,minorExculp,No,Very Confident,1,1,97.0,1.0,97.0,inculp
957910,6.0,evidence1,Yes,Very Confident,1,6,97.0,1.0,97.0,inculp
957910,14.0,criticalExculp,No,Very Confident,1,1,61.0,0.0,86.0,ambig
957910,14.0,minorInculp,No,Very Confident,1,1,61.0,0.0,86.0,ambig
957910,14.0,evidence4,Yes,Very Confident,1,6,61.0,0.0,86.0,ambig
957910,14.0,evidence1,Yes,Very Confident,1,6,61.0,0.0,86.0,ambig
957910,14.0,evidence2,Yes,Very Confident,1,6,61.0,0.0,86.0,ambig
957910,14.0,criticalInculp,No,Very Confident,1,1,61.0,0.0,86.0,ambig
957910,14.0,minorExculp,No,Very Confident,1,1,61.0,0.0,86.0,ambig
957910,14.0,evidence3,Yes,Very Confident,1,6,61.0,0.0,86.0,ambig
957910,30.0,criticalInculp,No,Very Confident,1,1,16.0,0.0,37.0,ambig
957910,30.0,minorExculp,No,Moderately Confident,1,2,16.0,0.0,37.0,ambig
957910,30.0,evidence1,Yes,Very Confident,1,6,16.0,0.0,37.0,ambig
957910,30.0,criticalExculp,No,Very Confident,1,1,16.0,0.0,37.0,ambig
957910,30.0,evidence3,Yes,Very Confident,1,6,16.0,0.0,37.0,ambig
957910,30.0,evidence4,Yes,Moderately Confident,1,5,16.0,0.0,37.0,ambig
957910,30.0,evidence2,Yes,Very Confident,1,6,16.0,0.0,37.0,ambig
957910,30.0,minorInculp,No,Very Confident,1,1,16.0,0.0,37.0,ambig
957910,20.0,evidence3,No,Moderately Confident,1,2,30.0,0.0,71.0,exculp
957910,20.0,evidence1,No,Very Confident,1,1,30.0,0.0,71.0,exculp
957910,20.0,minorInculp,No,Very Confident,1,1,30.0,0.0,71.0,exculp
957910,20.0,evidence4,Yes,Very Confident,1,6,30.0,0.0,71.0,exculp
957910,20.0,minorExculp,No,Moderately Confident,1,2,30.0,0.0,71.0,exculp
957910,20.0,evidence2,Yes,Very Confident,1,6,30.0,0.0,71.0,exculp
957910,20.0,criticalInculp,No,Very Confident,1,1,30.0,0.0,71.0,exculp
957910,20.0,criticalExculp,No,Very Confident,1,1,30.0,0.0,71.0,exculp
957910,18.0,minorExculp,No,Very Confident,1,1,89.0,1.0,53.0,inculp
957910,18.0,minorInculp,No,Very Confident,1,1,89.0,1.0,53.0,inculp
957910,18.0,evidence3,Yes,Very Confident,1,6,89.0,1.0,53.0,inculp
957910,18.0,criticalInculp,No,Very Confident,1,1,89.0,1.0,53.0,inculp
957910,18.0,evidence2,Yes,Very Confident,1,6,89.0,1.0,53.0,inculp
957910,18.0,criticalExculp,No,Moderately Confident,1,2,89.0,1.0,53.0,inculp
957910,18.0,evidence1,Yes,Very Confident,1,6,89.0,1.0,53.0,inculp
957910,18.0,evidence4,Yes,Very Confident,1,6,89.0,1.0,53.0,inculp
957910,28.0,minorInculp,No,Very Confident,1,1,87.0,1.0,64.0,inculp
957910,28.0,evidence4,Yes,Moderately Confident,1,5,87.0,1.0,64.0,inculp
957910,28.0,evidence3,Yes,Very Confident,1,6,87.0,1.0,64.0,inculp
957910,28.0,evidence2,Yes,Moderately Confident,1,5,87.0,1.0,64.0,inculp
957910,28.0,criticalExculp,No,Very Confident,1,1,87.0,1.0,64.0,inculp
957910,28.0,evidence1,Yes,Very Confident,1,6,87.0,1.0,64.0,inculp
957910,28.0,criticalInculp,No,Very Confident,1,1,87.0,1.0,64.0,inculp
957910,28.0,minorExculp,No,Very Confident,1,1,87.0,1.0,64.0,inculp
957910,2.0,minorInculp,No,Very Confident,1,1,44.0,0.0,59.0,ambig
957910,2.0,evidence1,Yes,Very Confident,1,6,44.0,0.0,59.0,ambig
957910,2.0,criticalExculp,No,Moderately Confident,1,2,44.0,0.0,59.0,ambig
957910,2.0,evidence4,No,Not Confident,1,3,44.0,0.0,59.0,ambig
957910,2.0,minorExculp,No,Moderately Confident,1,2,44.0,0.0,59.0,ambig
957910,2.0,criticalInculp,No,Very Confident,1,1,44.0,0.0,59.0,ambig
957910,2.0,evidence3,Yes,Very Confident,1,6,44.0,0.0,59.0,ambig
957910,2.0,evidence2,Yes,Very Confident,1,6,44.0,0.0,59.0,ambig
957910,19.0,evidence1,Yes,Very Confident,1,6,27.0,0.0,56.0,exculp
957910,19.0,minorInculp,No,Very Confident,1,1,27.0,0.0,56.0,exculp
957910,19.0,minorExculp,No,Very Confident,1,1,27.0,0.0,56.0,exculp
957910,19.0,evidence3,Yes,Very Confident,1,6,27.0,0.0,56.0,exculp
957910,19.0,criticalExculp,No,Very Confident,1,1,27.0,0.0,56.0,exculp
957910,19.0,criticalInculp,No,Very Confident,1,1,27.0,0.0,56.0,exculp
957910,19.0,evidence2,Yes,Very Confident,1,6,27.0,0.0,56.0,exculp
957910,19.0,evidence4,Yes,Very Confident,1,6,27.0,0.0,56.0,exculp
957910,22.0,minorInculp,No,Very Confident,1,1,89.0,1.0,74.0,ambig
957910,22.0,criticalInculp,No,Very Confident,1,1,89.0,1.0,74.0,ambig
957910,22.0,evidence1,Yes,Very Confident,1,6,89.0,1.0,74.0,ambig
957910,22.0,evidence2,Yes,Very Confident,1,6,89.0,1.0,74.0,ambig
957910,22.0,criticalExculp,No,Very Confident,1,1,89.0,1.0,74.0,ambig
957910,22.0,minorExculp,No,Moderately Confident,1,2,89.0,1.0,74.0,ambig
957910,22.0,evidence4,Yes,Moderately Confident,1,5,89.0,1.0,74.0,ambig
957910,22.0,evidence3,No,Not Confident,1,3,89.0,1.0,74.0,ambig
957910,24.0,evidence1,Yes,Very Confident,1,6,5.0,0.0,42.0,exculp
957910,24.0,criticalExculp,No,Very Confident,1,1,5.0,0.0,42.0,exculp
957910,24.0,evidence2,Yes,Very Confident,1,6,5.0,0.0,42.0,exculp
957910,24.0,minorExculp,No,Very Confident,1,1,5.0,0.0,42.0,exculp
957910,24.0,criticalInculp,No,Very Confident,1,1,5.0,0.0,42.0,exculp
957910,24.0,evidence3,Yes,Very Confident,1,6,5.0,0.0,42.0,exculp
957910,24.0,evidence4,Yes,Moderately Confident,1,5,5.0,0.0,42.0,exculp
957910,24.0,minorInculp,No,Very Confident,1,1,5.0,0.0,42.0,exculp
