participant,lureCaseNum,lureType,evidenceUsedResponse.response,confidenceLevel.response,condition,confidence,caseStrength,verdict,realRate,caseType
273608,28.0,criticalExculp,No,Very Confident,0,1,100.0,1.0,91.0,inculp
273608,28.0,minorExculp,No,Very Confident,0,1,100.0,1.0,91.0,inculp
273608,28.0,evidence3,Yes,Very Confident,0,6,100.0,1.0,91.0,inculp
273608,28.0,evidence1,Yes,Very Confident,0,6,100.0,1.0,91.0,inculp
273608,28.0,evidence2,No,Very Confident,0,1,100.0,1.0,91.0,inculp
273608,28.0,minorInculp,Yes,Very Confident,0,6,100.0,1.0,91.0,inculp
273608,28.0,criticalInculp,No,Very Confident,0,1,100.0,1.0,91.0,inculp
273608,28.0,evidence4,Yes,Very Confident,0,6,100.0,1.0,91.0,inculp
273608,24.0,criticalInculp,No,Very Confident,0,1,0.0,1.0,100.0,exculp
273608,24.0,evidence3,Yes,Very Confident,0,6,0.0,1.0,100.0,exculp
273608,24.0,minorInculp,No,Very Confident,0,1,0.0,1.0,100.0,exculp
273608,24.0,evidence2,Yes,Very Confident,0,6,0.0,1.0,100.0,exculp
273608,24.0,criticalExculp,No,Very Confident,0,1,0.0,1.0,100.0,exculp
273608,24.0,evidence1,No,Very Confident,0,1,0.0,1.0,100.0,exculp
273608,24.0,evidence4,Yes,Very Confident,0,6,0.0,1.0,100.0,exculp
273608,24.0,minorExculp,No,Very Confident,0,1,0.0,1.0,100.0,exculp
273608,20.0,minorExculp,No,Very Confident,0,1,27.0,0.0,100.0,exculp
273608,20.0,criticalExculp,No,Very Confident,0,1,27.0,0.0,100.0,exculp
273608,20.0,evidence3,Yes,Very Confident,0,6,27.0,0.0,100.0,exculp
273608,20.0,evidence1,Yes,Very Confident,0,6,27.0,0.0,100.0,exculp
273608,20.0,minorInculp,No,Very Confident,0,1,27.0,0.0,100.0,exculp
273608,20.0,evidence2,Yes,Very Confident,0,6,27.0,0.0,100.0,exculp
273608,20.0,criticalInculp,No,Very Confident,0,1,27.0,0.0,100.0,exculp
273608,20.0,evidence4,Yes,Very Confident,0,6,27.0,0.0,100.0,exculp
273608,19.0,evidence1,Yes,Very Confident,0,6,16.0,1.0,100.0,exculp
273608,19.0,minorExculp,No,Very Confident,0,1,16.0,1.0,100.0,exculp
273608,19.0,evidence3,Yes,Very Confident,0,6,16.0,1.0,100.0,exculp
273608,19.0,evidence2,Yes,Very Confident,0,6,16.0,1.0,100.0,exculp
273608,19.0,criticalInculp,No,Very Confident,0,1,16.0,1.0,100.0,exculp
273608,19.0,evidence4,Yes,Very Confident,0,6,16.0,1.0,100.0,exculp
273608,19.0,minorInculp,No,Very Confident,0,1,16.0,1.0,100.0,exculp
273608,19.0,criticalExculp,No,Very Confident,0,1,16.0,1.0,100.0,exculp
273608,2.0,evidence3,Yes,Very Confident,0,6,18.0,0.0,84.0,ambig
273608,2.0,criticalExculp,No,Very Confident,0,1,18.0,0.0,84.0,ambig
273608,2.0,evidence2,Yes,Very Confident,0,6,18.0,0.0,84.0,ambig
273608,2.0,evidence4,Yes,Very Confident,0,6,18.0,0.0,84.0,ambig
273608,2.0,minorExculp,Yes,Very Confident,0,6,18.0,0.0,84.0,ambig
273608,2.0,criticalInculp,No,Very Confident,0,1,18.0,0.0,84.0,ambig
273608,2.0,minorInculp,No,Very Confident,0,1,18.0,0.0,84.0,ambig
273608,2.0,evidence1,No,Very Confident,0,1,18.0,0.0,84.0,ambig
273608,6.0,evidence1,No,Very Confident,0,1,72.0,1.0,99.0,inculp
273608,6.0,evidence2,No,Very Confident,0,1,72.0,1.0,99.0,inculp
273608,6.0,evidence4,No,Very Confident,0,1,72.0,1.0,99.0,inculp
273608,6.0,minorExculp,No,Very Confident,0,1,72.0,1.0,99.0,inculp
273608,6.0,evidence3,No,Very Confident,0,1,72.0,1.0,99.0,inculp
273608,6.0,criticalInculp,No,Very Confident,0,1,72.0,1.0,99.0,inculp
273608,6.0,minorInculp,No,Very Confident,0,1,72.0,1.0,99.0,inculp
273608,6.0,criticalExculp,No,Very Confident,0,1,72.0,1.0,99.0,inculp
273608,18.0,evidence4,Yes,Very Confident,0,6,65.0,1.0,100.0,inculp
273608,18.0,minorExculp,No,Very Confident,0,1,65.0,1.0,100.0,inculp
273608,18.0,evidence1,Yes,Very Confident,0,6,65.0,1.0,100.0,inculp
273608,18.0,minorInculp,No,Very Confident,0,1,65.0,1.0,100.0,inculp
273608,18.0,evidence2,Yes,Very Confident,0,6,65.0,1.0,100.0,inculp
273608,18.0,criticalInculp,No,Very Confident,0,1,65.0,1.0,100.0,inculp
273608,18.0,criticalExculp,No,Very Confident,0,1,65.0,1.0,100.0,inculp
273608,18.0,evidence3,Yes,Very Confident,0,6,65.0,1.0,100.0,inculp
273608,22.0,minorExculp,No,Very Confident,0,1,100.0,1.0,59.0,ambig
273608,22.0,minorInculp,No,Very Confident,0,1,100.0,1.0,59.0,ambig
273608,22.0,criticalInculp,No,Very Confident,0,1,100.0,1.0,59.0,ambig
273608,22.0,evidence3,Yes,Very Confident,0,6,100.0,1.0,59.0,ambig
273608,22.0,evidence4,Yes,Very Confident,0,6,100.0,1.0,59.0,ambig
273608,22.0,criticalExculp,No,Very Confident,0,1,100.0,1.0,59.0,ambig
