participant,lureCaseNum,lureType,evidenceUsedResponse.response,confidenceLevel.response,condition,confidence,caseStrength,verdict,realRate,caseType
99060,2.0,minorExculp,Yes,Very Confident,0,6,37.0,0.0,99.0,ambig
99060,2.0,evidence4,Yes,Very Confident,0,6,37.0,0.0,99.0,ambig
99060,2.0,evidence2,Yes,Very Confident,0,6,37.0,0.0,99.0,ambig
99060,2.0,minorInculp,No,Very Confident,0,1,37.0,0.0,99.0,ambig
99060,2.0,evidence1,Yes,Very Confident,0,6,37.0,0.0,99.0,ambig
99060,2.0,evidence3,Yes,Very Confident,0,6,37.0,0.0,99.0,ambig
99060,2.0,criticalInculp,No,Very Confident,0,1,37.0,0.0,99.0,ambig
99060,2.0,criticalExculp,No,Very Confident,0,1,37.0,0.0,99.0,ambig
99060,22.0,minorInculp,No,Very Confident,0,1,100.0,1.0,85.0,ambig
99060,22.0,evidence2,Yes,Very Confident,0,6,100.0,1.0,85.0,ambig
99060,22.0,criticalExculp,No,Very Confident,0,1,100.0,1.0,85.0,ambig
99060,22.0,minorExculp,No,Very Confident,0,1,100.0,1.0,85.0,ambig
99060,22.0,evidence3,Yes,Very Confident,0,6,100.0,1.0,85.0,ambig
99060,22.0,evidence4,Yes,Very Confident,0,6,100.0,1.0,85.0,ambig
99060,22.0,criticalInculp,No,Very Confident,0,1,100.0,1.0,85.0,ambig
99060,22.0,evidence1,Yes,Very Confident,0,6,100.0,1.0,85.0,ambig
99060,14.0,evidence4,Yes,Moderately Confident,0,5,66.0,1.0,100.0,ambig
99060,14.0,minorExculp,No,Very Confident,0,1,66.0,1.0,100.0,ambig
99060,14.0,evidence2,Yes,Very Confident,0,6,66.0,1.0,100.0,ambig
99060,14.0,evidence1,No,Very Confident,0,1,66.0,1.0,100.0,ambig
99060,14.0,evidence3,Yes,Very Confident,0,6,66.0,1.0,100.0,ambig
99060,14.0,criticalInculp,No,Very Confident,0,1,66.0,1.0,100.0,ambig
99060,14.0,minorInculp,No,Very Confident,0,1,66.0,1.0,100.0,ambig
99060,14.0,criticalExculp,No,Very Confident,0,1,66.0,1.0,100.0,ambig
99060,24.0,evidence1,No,Very Confident,0,1,31.0,0.0,77.0,exculp
99060,24.0,minorExculp,No,Very Confident,0,1,31.0,0.0,77.0,exculp
99060,24.0,evidence3,Yes,Very Confident,0,6,31.0,0.0,77.0,exculp
99060,24.0,evidence2,Yes,Very Confident,0,6,31.0,0.0,77.0,exculp
99060,24.0,minorInculp,No,Very Confident,0,1,31.0,0.0,77.0,exculp
99060,24.0,criticalExculp,No,Very Confident,0,1,31.0,0.0,77.0,exculp
99060,24.0,evidence4,Yes,Very Confident,0,6,31.0,0.0,77.0,exculp
99060,24.0,criticalInculp,No,Very Confident,0,1,31.0,0.0,77.0,exculp
