participant,lureCaseNum,lureType,evidenceUsedResponse.response,confidenceLevel.response,condition,confidence,caseStrength,verdict,realRate,caseType
32,28.0,minorInculp,Yes,Moderately Confident,0,5,64.0,1.0,87.0,inculp
32,28.0,evidence1,No,Very Confident,0,1,64.0,1.0,87.0,inculp
32,28.0,evidence3,Yes,Moderately Confident,0,5,64.0,1.0,87.0,inculp
32,28.0,evidence2,Yes,Very Confident,0,6,64.0,1.0,87.0,inculp
32,28.0,criticalInculp,Yes,Moderately Confident,0,5,64.0,1.0,87.0,inculp
32,28.0,criticalExculp,No,Moderately Confident,0,2,64.0,1.0,87.0,inculp
32,28.0,minorExculp,No,Very Confident,0,1,64.0,1.0,87.0,inculp
32,28.0,evidence4,Yes,Moderately Confident,0,5,64.0,1.0,87.0,inculp
32,6.0,evidence1,Yes,Very Confident,0,6,84.0,1.0,69.0,inculp
32,6.0,minorExculp,No,Moderately Confident,0,2,84.0,1.0,69.0,inculp
32,6.0,criticalInculp,Yes,Very Confident,0,6,84.0,1.0,69.0,inculp
32,6.0,criticalExculp,No,Moderately Confident,0,2,84.0,1.0,69.0,inculp
32,6.0,minorInculp,Yes,Very Confident,0,6,84.0,1.0,69.0,inculp
32,6.0,evidence4,Yes,Moderately Confident,0,5,84.0,1.0,69.0,inculp
32,6.0,evidence3,Yes,Moderately Confident,0,5,84.0,1.0,69.0,inculp
32,6.0,evidence2,Yes,Moderately Confident,0,5,84.0,1.0,69.0,inculp
32,24.0,criticalInculp,Yes,Very Confident,0,6,85.0,1.0,52.0,exculp
32,24.0,criticalExculp,Yes,Moderately Confident,0,5,85.0,1.0,52.0,exculp
32,24.0,minorExculp,No,Moderately Confident,0,2,85.0,1.0,52.0,exculp
32,24.0,minorInculp,Yes,Moderately Confident,0,5,85.0,1.0,52.0,exculp
32,24.0,evidence4,Yes,Moderately Confident,0,5,85.0,1.0,52.0,exculp
32,24.0,evidence3,No,Moderately Confident,0,2,85.0,1.0,52.0,exculp
32,24.0,evidence2,Yes,Not Confident,0,4,85.0,1.0,52.0,exculp
