participant,lureCaseNum,lureType,evidenceUsedResponse.response,confidenceLevel.response,condition,confidence,caseStrength,verdict,realRate,caseType
366937,30.0,evidence3,Yes,Very Confident,1,6,52.0,1.0,80.0,ambig
366937,30.0,criticalExculp,No,Very Confident,1,1,52.0,1.0,80.0,ambig
366937,30.0,evidence1,Yes,Very Confident,1,6,52.0,1.0,80.0,ambig
366937,30.0,minorInculp,No,Very Confident,1,1,52.0,1.0,80.0,ambig
366937,30.0,criticalInculp,No,Very Confident,1,1,52.0,1.0,80.0,ambig
366937,30.0,evidence4,Yes,Very Confident,1,6,52.0,1.0,80.0,ambig
366937,30.0,minorExculp,No,Very Confident,1,1,52.0,1.0,80.0,ambig
366937,30.0,evidence2,Yes,Very Confident,1,6,52.0,1.0,80.0,ambig
366937,24.0,criticalExculp,No,Very Confident,1,1,57.0,1.0,66.0,exculp
366937,24.0,minorExculp,No,Very Confident,1,1,57.0,1.0,66.0,exculp
366937,24.0,evidence4,Yes,Very Confident,1,6,57.0,1.0,66.0,exculp
366937,24.0,evidence3,Yes,Very Confident,1,6,57.0,1.0,66.0,exculp
366937,24.0,criticalInculp,No,Very Confident,1,1,57.0,1.0,66.0,exculp
366937,24.0,evidence2,Yes,Very Confident,1,6,57.0,1.0,66.0,exculp
366937,24.0,minorInculp,No,Very Confident,1,1,57.0,1.0,66.0,exculp
366937,24.0,evidence1,Yes,Very Confident,1,6,57.0,1.0,66.0,exculp
366937,28.0,minorExculp,No,Very Confident,1,1,40.0,0.0,33.0,inculp
366937,28.0,evidence3,Yes,Very Confident,1,6,40.0,0.0,33.0,inculp
366937,28.0,evidence4,Yes,Not Confident,1,4,40.0,0.0,33.0,inculp
366937,28.0,minorInculp,No,Very Confident,1,1,40.0,0.0,33.0,inculp
366937,28.0,criticalInculp,No,Very Confident,1,1,40.0,0.0,33.0,inculp
366937,28.0,evidence1,Yes,Very Confident,1,6,40.0,0.0,33.0,inculp
366937,28.0,evidence2,Yes,Very Confident,1,6,40.0,0.0,33.0,inculp
366937,28.0,criticalExculp,No,Very Confident,1,1,40.0,0.0,33.0,inculp
366937,18.0,evidence3,Yes,Very Confident,1,6,68.0,1.0,82.0,inculp
366937,18.0,minorInculp,No,Very Confident,1,1,68.0,1.0,82.0,inculp
366937,18.0,evidence4,Yes,Very Confident,1,6,68.0,1.0,82.0,inculp
366937,18.0,minorExculp,No,Very Confident,1,1,68.0,1.0,82.0,inculp
366937,18.0,criticalExculp,No,Very Confident,1,1,68.0,1.0,82.0,inculp
366937,18.0,evidence2,Yes,Very Confident,1,6,68.0,1.0,82.0,inculp
366937,18.0,criticalInculp,No,Very Confident,1,1,68.0,1.0,82.0,inculp
366937,18.0,evidence1,Yes,Very Confident,1,6,68.0,1.0,82.0,inculp
366937,14.0,evidence1,Yes,Very Confident,1,6,60.0,1.0,46.0,ambig
366937,14.0,evidence2,Yes,Very Confident,1,6,60.0,1.0,46.0,ambig
366937,14.0,evidence3,Yes,Very Confident,1,6,60.0,1.0,46.0,ambig
366937,14.0,criticalExculp,Yes,Very Confident,1,6,60.0,1.0,46.0,ambig
366937,14.0,minorExculp,Yes,Not Confident,1,4,60.0,1.0,46.0,ambig
366937,14.0,criticalInculp,Yes,Moderately Confident,1,5,60.0,1.0,46.0,ambig
366937,14.0,evidence4,Yes,Very Confident,1,6,60.0,1.0,46.0,ambig
366937,14.0,minorInculp,Yes,Moderately Confident,1,5,60.0,1.0,46.0,ambig
366937,22.0,evidence4,Yes,Very Confident,1,6,34.0,0.0,53.0,ambig
366937,22.0,minorExculp,No,Very Confident,1,1,34.0,0.0,53.0,ambig
366937,22.0,minorInculp,No,Very Confident,1,1,34.0,0.0,53.0,ambig
366937,22.0,criticalInculp,No,Very Confident,1,1,34.0,0.0,53.0,ambig
366937,22.0,evidence2,Yes,Very Confident,1,6,34.0,0.0,53.0,ambig
366937,22.0,evidence1,Yes,Very Confident,1,6,34.0,0.0,53.0,ambig
366937,22.0,evidence3,Yes,Very Confident,1,6,34.0,0.0,53.0,ambig
366937,22.0,criticalExculp,No,Very Confident,1,1,34.0,0.0,53.0,ambig
366937,20.0,evidence2,Yes,Very Confident,1,6,25.0,0.0,72.0,exculp
366937,20.0,criticalExculp,No,Very Confident,1,1,25.0,0.0,72.0,exculp
366937,20.0,evidence4,Yes,Very Confident,1,6,25.0,0.0,72.0,exculp
366937,20.0,evidence1,Yes,Very Confident,1,6,25.0,0.0,72.0,exculp
366937,20.0,minorInculp,Yes,Very Confident,1,6,25.0,0.0,72.0,exculp
366937,20.0,minorExculp,No,Very Confident,1,1,25.0,0.0,72.0,exculp
366937,20.0,criticalInculp,No,Very Confident,1,1,25.0,0.0,72.0,exculp
366937,20.0,evidence3,Yes,Very Confident,1,6,25.0,0.0,72.0,exculp
366937,19.0,evidence2,Yes,Very Confident,1,6,35.0,0.0,74.0,exculp
366937,19.0,criticalExculp,No,Very Confident,1,1,35.0,0.0,74.0,exculp
366937,19.0,minorInculp,No,Very Confident,1,1,35.0,0.0,74.0,exculp
366937,19.0,minorExculp,No,Moderately Confident,1,2,35.0,0.0,74.0,exculp
366937,19.0,evidence3,Yes,Very Confident,1,6,35.0,0.0,74.0,exculp
366937,19.0,evidence1,Yes,Very Confident,1,6,35.0,0.0,74.0,exculp
366937,19.0,evidence4,Yes,Very Confident,1,6,35.0,0.0,74.0,exculp
366937,19.0,criticalInculp,No,Very Confident,1,1,35.0,0.0,74.0,exculp
366937,2.0,minorExculp,Yes,Very Confident,1,6,32.0,0.0,91.0,ambig
366937,2.0,criticalInculp,Yes,Moderately Confident,1,5,32.0,0.0,91.0,ambig
366937,2.0,evidence4,No,Moderately Confident,1,2,32.0,0.0,91.0,ambig
366937,2.0,evidence2,Yes,Very Confident,1,6,32.0,0.0,91.0,ambig
366937,2.0,criticalExculp,Yes,Moderately Confident,1,5,32.0,0.0,91.0,ambig
366937,2.0,evidence3,Yes,Very Confident,1,6,32.0,0.0,91.0,ambig
366937,2.0,minorInculp,No,Very Confident,1,1,32.0,0.0,91.0,ambig
366937,2.0,evidence1,No,Very Confident,1,1,32.0,0.0,91.0,ambig
366937,6.0,minorInculp,Yes,Very Confident,1,6,60.0,1.0,75.0,inculp
366937,6.0,evidence4,Yes,Very Confident,1,6,60.0,1.0,75.0,inculp
366937,6.0,evidence2,Yes,Very Confident,1,6,60.0,1.0,75.0,inculp
366937,6.0,criticalInculp,Yes,Moderately Confident,1,5,60.0,1.0,75.0,inculp
366937,6.0,minorExculp,No,Moderately Confident,1,2,60.0,1.0,75.0,inculp
366937,6.0,evidence3,Yes,Very Confident,1,6,60.0,1.0,75.0,inculp
366937,6.0,criticalExculp,No,Very Confident,1,1,60.0,1.0,75.0,inculp
366937,6.0,evidence1,Yes,Very Confident,1,6,60.0,1.0,75.0,inculp
