participant,rank,realrate.response,thisN,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqTrials.vviqResponse.response,vviqResponse.response,trials.verdict.response,trials.realrate.response,trials.casestrength.response,surpriseTestLoopSmall.evidenceUsedResponse.rt,surpriseTestLoopSmall.evidenceUsedResponse.response,surpriseTestLoopSmall.confidenceLevel.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consentInfiniteLoop.consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.responseTextBox.text,thisTrialN,thisRepN,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,consentInfiniteLoop.consented_button.timesOn,consentInfiniteLoop.consented_button.timesOff,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
080103,6,76,7,clear_in,clear_in,clear_ex,clear_in,Guilty,I imagined a pale brunette woman in front of a prosecutor with the dna results,1500.3684050999582,,,Guilty,76,71,,,,,60,,,,,71,1565.4371590999654,1563.5330243000062,,,,,,,,,,,,,1595.4295006999746,1650.5641002999619,1595.421372,7,0,7,1,I imagined a pale brunette woman in front of a prosecutor with the dna results,7,0,,,,,,,,,,,,,,,M1,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_11h01.50.337,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,1,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1595.4211822999641,1565.4372117000166,1663.6148353000171,1650.5650027999654,1563.5329557999503,1500.354652000009,,,,,,
080103,14,40,8,clear_ex,ambiguous,clear_in,clear_in,Guilty,I imagined a depiction of the boat being sold and a stoic prosecutor presenting the envelope,1663.634876199998,,,Guilty,40,66,,,,,60,,,,,66,1779.1979407999897,1778.5231371999253,,,,,,,,,,,,,1809.1900134999305,1862.6293363999575,1809.1817134999437,8,0,8,2,I imagined a depiction of the boat being sold and a stoic prosecutor presenting the envelope,8,0,,,,,,,,,,,,,,,F,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,????,2026-04-22_11h01.50.337,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,1,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,1809.1815170999616,1779.197991099907,1870.716850799974,1862.6302872999804,1778.5230641999515,1663.624961399939,,,,,,
080103,30,32,9,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,I imagine the selfies being shown with the time stamps or a depiction of the defendant taking the selfies,1870.744987300015,,,Not Guilty,32,55,,,,,60,,,,,55,1966.9262297999812,1965.8238514999393,,,,,,,,,,,,,1996.9195503999945,2041.3027590999845,1996.9116586999735,9,0,9,9,I imagine the selfies being shown with the time stamps or a depiction of the defendant taking the selfies,9,0,,,,,,,,,,,,,,,A,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_11h01.50.337,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,1,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,1996.9114753999747,1966.9262807000196,2061.3415485000005,2041.3037898999173,1965.8237797999755,1870.7289224999258,,,,,,
080103,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,2081.229059699923,2061.3416405000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,0,,,,,,,2081.241607300006,3,3,,,,,,,,60,,,,,,,,0,0,0,0,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2090.766805799911,2081.2383474999806,2103.350923699909,2090.7767553000012,"The exact contour of face, head, shoulders and body.",,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,1,,,,,,,2103.3624026000034,4,4,,,,,,,,60,,,,,,,,1,0,1,1,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2103.351011699997,2103.3509995000204,2109.581953499932,2103.3560727000004,"Characteristic poses of head, attitudes of body, etc.",,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,2,,,,,,,2109.601749299909,2,2,,,,,,,,60,,,,,,,,2,0,2,2,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2109.582068799995,2109.5820565000176,2117.2856265999144,2109.5859309999505,"The precise carriage, length of step, etc., in walking.",,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,3,,,,,,,2117.2976509999717,3,3,,,,,,,,60,,,,,,,,3,0,3,3,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2117.285735799931,2117.285721299937,2123.984764899942,2117.288048699964,The different colors worn in some familiar clothes.,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,4,,,,,,,2123.9925834999885,4,4,,,,,,,,60,,,,,,,,4,0,4,4,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,2128.2195877999766,2123.988467499963,2135.089267399977,2128.2224839999108,The sun is rising above the horizon into a hazy sky.,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,5,,,,,,,2135.1011144999648,3,3,,,,,,,,60,,,,,,,,5,0,5,5,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,2135.0893737999722,2135.0893594999798,2142.0476488999557,2135.0909651999827,The sky clears and surrounds the sun with blueness.,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
