participant,rank,realrate.response,thisN,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqTrials.vviqResponse.response,vviqResponse.response,trials.verdict.response,trials.realrate.response,trials.casestrength.response,surpriseTestLoopSmall.evidenceUsedResponse.rt,surpriseTestLoopSmall.evidenceUsedResponse.response,surpriseTestLoopSmall.confidenceLevel.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consentInfiniteLoop.consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.responseTextBox.text,thisTrialN,thisRepN,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,consentInfiniteLoop.consented_button.timesOn,consentInfiniteLoop.consented_button.timesOff,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
778465,18,95,7,clear_in,clear_ex,clear_in,clear_in,Guilty,I imagine this man paying and transporting people across the border and selling them to other people for lots of money. I imagine these people being overworked and underpaid for their duties in general.,1438.6820646999404,,,Guilty,95,100,,,,,60,,,,,100,1475.1918296999065,1474.354504399933,,,,,,,,,,,,,1505.189433899941,1576.584081799956,1505.1775427999673,7,0,7,3,I imagine this man paying and transporting people across the border and selling them to other people for lots of money. I imagine these people being overworked and underpaid for their duties in general.,7,0,,,,,,,,,,,,,,,F,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-21_14h01.46.653,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,1,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,1505.1773599999724,1475.191885599983,1584.2323068999685,1576.5851226999657,1474.3544383000117,1438.6656305999495,,,,,,
778465,24,82,8,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,"I imagine someone scamming people by telling them that they need to invest more in order for their mortages to decrease, when in reality they do not need to whatsoever. I think imaginge the scam continuing until they get caught.",1584.2565277999965,,,Not Guilty,82,19,,,,,60,,,,,19,1630.4262387999333,1629.3207400999963,,,,,,,,,,,,,1660.4267274999293,1726.0173324999632,1660.4145263999235,8,0,8,7,"I imagine someone scamming people by telling them that they need to invest more in order for their mortages to decrease, when in reality they do not need to whatsoever. I think imaginge the scam continuing until they get caught.",8,0,,,,,,,,,,,,,,,C,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-21_14h01.46.653,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,1,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,1660.4143456999445,1630.4262900999747,1734.4664977999637,1726.019046099973,1629.3206649000058,1584.243186699925,,,,,,
778465,20,47,9,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,I imagine multiple poeple at the store freebagging and not just Ms. Clarke although I do believe that she did free bag clothes. I imagine she took the clothes she free bagged and then donated or gave them to another store. ,1734.4944217000157,,,Not Guilty,47,49,,,,,60,,,,,49,1827.8225974999368,1826.3547848999733,,,,,,,,,,,,,1857.8228136999533,1931.416746199946,1857.8110108999535,9,0,9,5,I imagine multiple poeple at the store freebagging and not just Ms. Clarke although I do believe that she did free bag clothes. I imagine she took the clothes she free bagged and then donated or gave them to another store. ,9,0,,,,,,,,,,,,,,,C,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-04-21_14h01.46.653,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,1,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,1857.8108255999396,1827.8226512999972,1938.2874219999649,1931.4176819999702,1826.3547163999174,1734.4796894999454,,,,,
778465,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,1945.1590272999601,1938.2875148999738,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_14h01.46.653,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
778465,,,0,,,,,,,1945.1930096999276,3,3,,,,,,,,60,,,,,,,,0,0,0,0,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1955.1805708999746,1945.1848744999152,1964.1527250999352,1955.1924991999986,"The exact contour of face, head, shoulders and body.",,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_14h01.46.653,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
778465,,,1,,,,,,,1964.1716018000152,2,2,,,,,,,,60,,,,,,,,1,0,1,1,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1964.1528165999334,1964.1528050999623,1970.8294675999787,1964.1569967999822,"Characteristic poses of head, attitudes of body, etc.",,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_14h01.46.653,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
778465,,,2,,,,,,,1970.8415077999234,3,3,,,,,,,,60,,,,,,,,2,0,2,2,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1970.8295689999359,1970.8295582999708,1976.7604830999626,1970.8327446999028,"The precise carriage, length of step, etc., in walking.",,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_14h01.46.653,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
778465,,,3,,,,,,,1976.7762953999918,4,4,,,,,,,,60,,,,,,,,3,0,3,3,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1976.7605867999373,1976.7605760999722,1983.2007148999255,1976.7641541999765,The different colors worn in some familiar clothes.,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_14h01.46.653,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
778465,,,4,,,,,,,1983.2084488999099,4,4,,,,,,,,60,,,,,,,,4,0,4,4,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,1989.6474028999219,1983.204467899981,1996.2635347999167,1989.6511924999068,The sun is rising above the horizon into a hazy sky.,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_14h01.46.653,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
778465,,,5,,,,,,,1996.2754469999345,4,4,,,,,,,,60,,,,,,,,5,0,5,5,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,1996.2636229000054,1996.2636114999186,2000.5051406999119,1996.2652794999303,The sky clears and surrounds the sun with blueness.,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_14h01.46.653,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
