participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
99060,19,92,clear_ex,clear_in,clear_ex,clear_ex,Guilty,"someone saw a different shooter, the bullets do not match the suspects gun, the suspect called and made threatening remarks, ",117.8644304,,,239.6311599,,,1,,64,163.3945247,145.4738447,,,,,,,,,,,,,193.4014375,243.1440909,193.3930223,0,0,0,4,,,,,,,,,,,,,,,E,0.0438228,0.0437795,2023.2.3,,,,,,2026-04-16 12h49.36.465343 -0700,JurorPsychopyTest,,,,,,,,,???,2026-04-16_12h49.21.175,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,7.0682801,7.0682854,TRUE,,,,,0,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",0.0551664,0.0551038,193.3930154,163.3945331,263.97082,243.1441999,145.4738326,117.8441005,117.8393243,111.6560051,111.655997,100.4020626,100.3850204,93.31007
99060,30,78,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,"His prints match the ones on the car, he has a previous convinction, it could have been someone else, he has an alibi about where he was during the accident. ",264.0137336,,,239.6311599,,,,,33,345.7673024,327.6806581,,,,,,,,,,,,,375.7711898,422.2761208,375.7629185,1,0,1,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-16 12h49.36.465343 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-16_12h49.21.175,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,375.7629116,345.7673106,438.647835,422.2762047,327.6806459,263.9710686,,,,,,
99060,18,84,clear_in,clear_ex,clear_in,clear_in,Guilty,"No digital evidence, he has a previous conviction, a women testified against him, DNA match found.",438.6746255,,,239.6311599,,,,,83,514.6413767,512.8956469,,,,,,,,,,,,,544.6506927,578.5460365,544.6425953,2,0,2,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-16 12h49.36.465343 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-16_12h49.21.175,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,0,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,544.6425884,514.6413847,587.2144997,578.5461038,512.8956349,438.6480456,,,,,,
99060,14,100,clear_ex,ambiguous,clear_in,clear_in,Guilty,"Previously convicted, there was a witness, bank records show he was doing something shady, DNA does not match the suspect",587.2367664,,,239.6311599,,,,,66,650.8948771,649.3615763,,,,,,,,,,,,,680.8988588,717.254017,680.8905555,3,0,3,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-16 12h49.36.465343 -0700,JurorPsychopyTest,,,,,,,,,????,2026-04-16_12h49.21.175,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,0,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,680.890549,650.8948853,730.5588972,717.2545063,649.3615652,587.2146925,,,,,,
99060,22,85,ambiguous,clear_in,clear_ex,clear_ex,Guilty,"Someone testified that it was not her, DNA puts her in one of the bathrooms, someone testified that she is a very truthful and honest person, security cameras show her leaving the hospital with a baby.",730.5819768,,,239.6311599,,,,,100,781.1610203,780.3915914,,,,,,,,,,,,,811.1648788,858.8396239,811.156582,4,0,4,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-16 12h49.36.465343 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-16_12h49.21.175,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,0,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,811.1565749,781.1610293,864.7331998,858.8397002,780.3915739,730.5591019,,,,,,
99060,24,77,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,"Fingerprints were found, she was never seen in the fake office building, people testified and said she was an honest person, nothing digital is linked to her.
",864.7558608,,,239.6311599,,,,,31,931.982364,931.4310941,,,,,,,,,,,,,961.9853792,999.4988795,961.9780389,5,0,5,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-16 12h49.36.465343 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-16_12h49.21.175,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,0,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,961.978032,931.982372,1010.517092,999.4989556,931.431082,864.7333959,,,,,,
99060,6,100,clear_in,clear_in,clear_ex,clear_in,Guilty,"Evidence with her fingerprints on it was found, someone testified saying she is prone to stealing, witness says she didnt buy any food items, recipt in her apartment says she did buy food.",1010.539228,,,239.6311599,,,,,42,1067.913844,1067.235777,,,,,,,,,,,,,1097.917672,1148.068666,1097.909466,6,0,6,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-04-16 12h49.36.465343 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-16_12h49.21.175,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,0,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1097.909459,1067.913853,1162.785153,1148.068746,1067.235765,1010.5173,,,,,,
99060,20,100,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"Someone says shes a very honest person, there are no fingerprints linked to the suspect, a customer says that not all of the items were rung up, no security camera footage proving she did anything wrong.",1162.814677,,,239.6311599,,,,,24,1232.983808,1232.583801,,,,,,,,,,,,,1262.988826,1319.566756,1262.980531,7,0,7,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-16 12h49.36.465343 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-16_12h49.21.175,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,0,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,1262.980523,1232.983817,1325.77281,1319.566828,1232.583789,1162.78536,,,,,
99060,28,100,clear_ex,clear_in,clear_in,clear_in,Guilty,"A recipt was found for gas, someone testified saying he was not law-abiding, no fingerprints were found, an eyewitness said they saw him carrying gas near the building.",1325.791132,,,239.6311599,,,,,89,1375.901216,1375.446934,,,,,,,,,,,,,1405.913058,1451.399783,1405.90092,8,0,8,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-16 12h49.36.465343 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-16_12h49.21.175,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,1405.900911,1375.901225,1461.760693,1451.399866,1375.446922,1325.773013,,,,,,
99060,2,99,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"someone said she is a very honest person, there is footage of her putting the dress back, no fingerprints were found, someone testified that they heard cutting from the dressing room and the suspect walked out. ",1461.795577,,,239.6311599,,,,,37,1522.599067,1522.215767,,,,,,,,,,,,,1552.603016,1605.535987,1552.594783,9,0,9,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-04-16 12h49.36.465343 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-16_12h49.21.175,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,1552.594775,1522.599075,1613.034735,1605.536058,1522.215755,1461.760883,,,,,,
