"scenario","type","valence","mean","sd"
1,"baseline",NA,-0.33494682676663,0.292684059084758
2,"baseline",NA,-1.28492352794201,0.287686585467854
3,"baseline",NA,-1.8165763418711,0.282287641577307
4,"baseline",NA,-1.79350030784249,0.299015489236608
5,"baseline",NA,-1.52913903758496,0.268911445977153
6,"baseline",NA,-1.20589563678167,0.292653176680424
7,"baseline",NA,-1.07264655324025,0.281372336278703
8,"baseline",NA,-1.84694308437976,0.275005601886236
9,"baseline",NA,-2.34394292871669,0.301884779494593
10,"baseline",NA,-1.11168703400588,0.31615134024635
11,"baseline",NA,-1.64017569870099,0.303689534957553
12,"baseline",NA,-1.4984950261019,0.289734144790337
13,"baseline",NA,-0.838615869182633,0.312758012345526
14,"baseline",NA,-1.53927953598589,0.28735346643217
15,"baseline",NA,-1.36030674818537,0.312366572080706
16,"baseline",NA,-1.76338699350211,0.283481810979074
17,"baseline",NA,-0.697902096071225,0.292706058239274
18,"baseline",NA,-1.35300986409587,0.306668349560011
19,"baseline",NA,-1.08500828141578,0.305174999734376
20,"baseline",NA,-1.88813975613367,0.282928376567001
21,"baseline",NA,-0.947448710258518,0.302422900689768
22,"baseline",NA,-0.978592490275473,0.305471404460938
23,"baseline",NA,-0.944110927368176,0.279600831202116
24,"baseline",NA,-0.799046360702776,0.295038728100536
25,"baseline",NA,-0.963923951761498,0.294672309731735
26,"baseline",NA,-1.46236273357227,0.280277689844744
27,"baseline",NA,-1.05670091121243,0.293063935625647
28,"baseline",NA,-1.04559140148392,0.30436289344872
29,"baseline",NA,-1.5200887881399,0.30004657397468
30,"baseline",NA,-1.43293728174699,0.311760053830305
31,"baseline",NA,-0.737151143527112,0.286677871338656
1,"physical","exculpatory",-1.40805001281263,0.298769863993115
1,"physical","ambiguous",0.151966874658474,0.280973465623837
1,"physical","inculpatory",2.50282090049629,0.330257269148864
1,"document","exculpatory",-1.00970698217845,0.285243608494561
1,"document","ambiguous",0.543303516456283,0.272432486947898
1,"document","inculpatory",1.24707692585485,0.31488834235518
1,"witness","exculpatory",-0.812073109503348,0.240701450035261
1,"witness","ambiguous",-0.247294064604345,0.19109415820071
1,"witness","inculpatory",1.49968589224516,0.234247282680868
1,"character","exculpatory",-0.34344041242208,0.139887810948004
1,"character","inculpatory",0.574990646126212,0.239194848865478
2,"physical","exculpatory",-0.738269239644894,0.290929418548946
2,"physical","ambiguous",-0.359340574094391,0.291926402558601
2,"physical","inculpatory",2.39321994637319,0.328005537263363
2,"document","exculpatory",-1.24292950141894,0.279789781822133
2,"document","ambiguous",0.469750092659035,0.283352832040512
2,"document","inculpatory",1.61413699150668,0.308116943759512
2,"witness","exculpatory",-0.695634910620658,0.234738991475403
2,"witness","ambiguous",-0.103193527378357,0.168893304485099
2,"witness","inculpatory",1.06947222458781,0.267384012393088
2,"character","exculpatory",-0.312702902271468,0.148249978153033
